journal	filename_abbreviation	citation_abbreviation	citation_source
ACS Central Science		ACS Cent. Sci.	curated_cassi_nlm_style
ACS Nano		ACS Nano	curated_cassi_nlm_style
Advanced Science		Adv. Sci.	curated_cassi_nlm_style
Annual Review of Biochemistry		Annu. Rev. Biochem.	curated_cassi_nlm_style
Annual Review of Biophysics		Annu. Rev. Biophys.	curated_cassi_nlm_style
Annual review of cell and developmental biology		Annu. Rev. Cell Dev. Biol.	curated_cassi_nlm_style
arXiv		arXiv	curated_cassi_nlm_style
Biochemistry		Biochemistry	curated_cassi_nlm_style
Biochemistry and Molecular Biology Education		Biochem. Mol. Biol. Educ.	curated_cassi_nlm_style
BioEssays		BioEssays	curated_cassi_nlm_style
Bioinformatics		Bioinformatics	curated_cassi_nlm_style
Biological Chemistry		Biol. Chem.	curated_cassi_nlm_style
Biological Cybernetics		Biol. Cybern.	curated_cassi_nlm_style
Biomacromolecules		Biomacromolecules	curated_cassi_nlm_style
Biomolecules		Biomolecules	curated_cassi_nlm_style
Biophysical Journal		Biophys. J.	curated_cassi_nlm_style
bioRxiv		bioRxiv	curated_cassi_nlm_style
BMC Bioinformatics		BMC Bioinformatics	curated_cassi_nlm_style
BMC Genomics		BMC Genomics	curated_cassi_nlm_style
Cancer Cell		Cancer Cell	curated_cassi_nlm_style
Cancer Discovery		Cancer Discov.	curated_cassi_nlm_style
Cancers		Cancers	curated_cassi_nlm_style
Cell		Cell	curated_cassi_nlm_style
Cell Death & Disease		Cell Death Dis.	curated_cassi_nlm_style
Cell Reports		Cell Rep.	curated_cassi_nlm_style
Cell systems		Cell Syst.	curated_cassi_nlm_style
Cell Systems		Cell Syst.	curated_cassi_nlm_style
Cellular and Molecular Life Sciences		Cell. Mol. Life Sci.	curated_cassi_nlm_style
Chemical Reviews		Chem. Rev.	curated_cassi_nlm_style
Chemical Science		Chem. Sci.	curated_cassi_nlm_style
Cold Spring Harbor Perspectives in Biology		Cold Spring Harb. Perspect. Biol.	curated_cassi_nlm_style
Communications Chemistry		Commun. Chem.	curated_cassi_nlm_style
Computational Methods for 3D Genome Analysis		Comput. Methods 3D Genome Anal.	curated_cassi_nlm_style
CoRR		CoRR	curated_cassi_nlm_style
Current Biology		Curr. Biol.	curated_cassi_nlm_style
Current Opinion in Cell Biology		Curr. Opin. Cell Biol.	curated_cassi_nlm_style
Current Opinion in Chemical Biology		Curr. Opin. Chem. Biol.	curated_cassi_nlm_style
Current Opinion in Colloid & Interface Science		Curr. Opin. Colloid Interface Sci.	curated_cassi_nlm_style
Current Opinion in Genetics & Development		Curr. Opin. Genet. Dev.	curated_cassi_nlm_style
Current Opinion in Neurobiology		Curr. Opin. Neurobiol.	curated_cassi_nlm_style
Current Opinion in Structural Biology	COSB	Curr. Opin. Struct. Biol.	curated_cassi_nlm_style
Development		Development	curated_cassi_nlm_style
eLife		eLife	curated_cassi_nlm_style
Elife		eLife	curated_cassi_nlm_style
EMBO Journal		EMBO J.	curated_cassi_nlm_style
EMBO reports		EMBO Rep.	curated_cassi_nlm_style
Epigenetics & Chromatin		Epigenetics Chromatin	curated_cassi_nlm_style
Europhysics Letters (EPL)		EPL	curated_cassi_nlm_style
FASEB Journal		FASEB J.	curated_cassi_nlm_style
FEMS Microbiology Reviews		FEMS Microbiol. Rev.	curated_cassi_nlm_style
Frontiers in Cell and Developmental Biology		Front. Cell Dev. Biol.	curated_cassi_nlm_style
Frontiers in Cellular Neuroscience		Front. Cell. Neurosci.	curated_cassi_nlm_style
Frontiers in Molecular Biosciences		Front. Mol. Biosci.	curated_cassi_nlm_style
Genes		Genes	curated_cassi_nlm_style
Genes & Cancer		Genes Cancer	curated_cassi_nlm_style
Genes & Development		Genes Dev.	curated_cassi_nlm_style
Genome Biology		Genome Biol.	curated_cassi_nlm_style
Genome Biology and Evolution		Genome Biol. Evol.	curated_cassi_nlm_style
Genome Research		Genome Res.	curated_cassi_nlm_style
IEEE Transactions on Neural Networks		IEEE Trans. Neural Netw.	curated_cassi_nlm_style
International Conference on Learning Representations		ICLR	curated_cassi_nlm_style
International Journal of Biological Macromolecules		Int. J. Biol. Macromol.	curated_cassi_nlm_style
International Journal of Molecular Sciences		Int. J. Mol. Sci.	curated_cassi_nlm_style
iScience		iScience	curated_cassi_nlm_style
Journal De Physique Ii		J. Phys. II	curated_cassi_nlm_style
Journal de Physique II		J. Phys. II	curated_cassi_nlm_style
Journal of Biological Chemistry		J. Biol. Chem.	curated_cassi_nlm_style
Journal of Chemical Information and Modeling		J. Chem. Inf. Model.	curated_cassi_nlm_style
Journal of Chemical Physics		J. Chem. Phys.	curated_cassi_nlm_style
Journal of Chemical Theory and Computation		J. Chem. Theory Comput.	curated_cassi_nlm_style
Journal of colloid and interface science		J. Colloid Interface Sci.	curated_cassi_nlm_style
Journal of Mathematical Psychology		J. Math. Psychol.	curated_cassi_nlm_style
Journal of Molecular Biology		J. Mol. Biol.	curated_cassi_nlm_style
Journal of Molecular Graphics and Modelling		J. Mol. Graph. Model.	curated_cassi_nlm_style
Journal of Statistical Mechanics: Theory and Experiment		J. Stat. Mech.	curated_cassi_nlm_style
Journal of Structural Biology		J. Struct. Biol.	curated_cassi_nlm_style
Journal of the American Chemical Society		J. Am. Chem. Soc.	curated_cassi_nlm_style
Journal of visualized experiments : JoVE		J. Vis. Exp.	curated_cassi_nlm_style
Langmuir		Langmuir	curated_cassi_nlm_style
Life		Life	curated_cassi_nlm_style
Machine Learning: Science and Technology		Mach. Learn.: Sci. Technol.	curated_cassi_nlm_style
Macromolecules		Macromolecules	curated_cassi_nlm_style
Methods in Enzymology		Methods Enzymol.	curated_cassi_nlm_style
Methods in Molecular Biology		Methods Mol. Biol.	curated_cassi_nlm_style
Microbiology Spectrum		Microbiol. Spectr.	curated_cassi_nlm_style
Molecular Biology and Evolution		Mol. Biol. Evol.	curated_cassi_nlm_style
Molecular Cell		Mol. Cell.	curated_cassi_nlm_style
Molecular systems design & engineering		Mol. Syst. Des. Eng.	curated_cassi_nlm_style
Molecular Systems Design & Engineering		Mol. Syst. Des. Eng.	curated_cassi_nlm_style
NAR Genomics and Bioinformatics		NAR Genom. Bioinform.	external_journal_index
Nature		Nature	curated_cassi_nlm_style
Nature Biotechnology		Nat. Biotechnol.	curated_cassi_nlm_style
Nature Cell Biology		Nat. Cell Biol.	curated_cassi_nlm_style
Nature Chemical Biology		Nat. Chem. Biol.	curated_cassi_nlm_style
Nature Chemistry		Nat. Chem.	curated_cassi_nlm_style
Nature Communications		Nat. Commun.	curated_cassi_nlm_style
Nature Computational Science		Nat. Comput. Sci.	curated_cassi_nlm_style
Nature Genetics		Nat. Genet.	curated_cassi_nlm_style
Nature Machine Intelligence		Nat. Mach. Intell.	official_journal_page
Nature Methods		Nat. Methods	curated_cassi_nlm_style
Nature Neuroscience		Nat. Neurosci.	curated_cassi_nlm_style
Nature Physics		Nat. Phys.	curated_cassi_nlm_style
Nature Reviews Genetics		Nat. Rev. Genet.	curated_cassi_nlm_style
Nature Reviews Molecular Cell Biology		Nat. Rev. Mol. Cell Biol.	curated_cassi_nlm_style
Nature Reviews. Molecular Cell Biology		Nat. Rev. Mol. Cell Biol.	curated_cassi_nlm_style
Nature Structural and Molecular Biology	NSMB	Nat. Struct. Mol. Biol.	curated_cassi_nlm_style
Network: Computation in Neural Systems		Network	curated_cassi_nlm_style
Neural Computation		Neural Comput.	curated_cassi_nlm_style
Neural Information Processing Systems		NeurIPS	curated_cassi_nlm_style
Neural Networks		Neural Netw.	curated_cassi_nlm_style
Neuron		Neuron	curated_cassi_nlm_style
New Journal of Physics		New J. Phys.	curated_cassi_nlm_style
Nucleic Acids Research	NAR	Nucleic Acids Res.	curated_cassi_nlm_style
Oncogene		Oncogene	curated_cassi_nlm_style
Patterns		Patterns	curated_cassi_nlm_style
Physical Biology		Phys. Biol.	curated_cassi_nlm_style
Physical Chemistry Chemical Physics		Phys. Chem. Chem. Phys.	curated_cassi_nlm_style
Physical chemistry chemical physics : PCCP		Phys. Chem. Chem. Phys.	curated_cassi_nlm_style
Physical Review B	PRB	Phys. Rev. B	curated_cassi_nlm_style
Physical Review E	PRE	Phys. Rev. E	curated_cassi_nlm_style
Physical Review Letters	PRL	Phys. Rev. Lett.	curated_cassi_nlm_style
Physical Review Research		Phys. Rev. Research	curated_cassi_nlm_style
Physical Review X		Phys. Rev. X	curated_cassi_nlm_style
Physical review. E		Phys. Rev. E	curated_cassi_nlm_style
PLOS Biology		PLoS Biol.	curated_cassi_nlm_style
PLoS Computational Biology		PLoS Comput. Biol.	curated_cassi_nlm_style
PLoS ONE		PLoS ONE	curated_cassi_nlm_style
PNAS Nexus		PNAS Nexus	curated_cassi_nlm_style
PNAS nexus		PNAS Nexus	curated_cassi_nlm_style
Proceedings of the National Academy of Sciences of the United States of America	PNAS	Proc. Natl. Acad. Sci. U.S.A.	curated_cassi_nlm_style
Progress in Biophysics and Molecular Biology		Prog. Biophys. Mol. Biol.	curated_cassi_nlm_style
Protein Science		Protein Sci.	curated_cassi_nlm_style
Protein Science : A Publication of the Protein Society		Protein Sci.	curated_cassi_nlm_style
PRX Quantum		PRX Quantum	curated_cassi_nlm_style
Quarterly Reviews of Biophysics		Q. Rev. Biophys.	curated_cassi_nlm_style
Reports on Progress in Physics		Rep. Prog. Phys.	curated_cassi_nlm_style
Research Square		Res. Sq.	curated_cassi_nlm_style
Reviews of Modern Physics		Rev. Mod. Phys.	curated_cassi_nlm_style
Science		Science	curated_cassi_nlm_style
Science Advances		Sci. Adv.	curated_cassi_nlm_style
Science advances		Sci. Adv.	curated_cassi_nlm_style
Science China Life Sciences		Sci. China Life Sci.	curated_cassi_nlm_style
Scientific Reports		Sci. Rep.	curated_cassi_nlm_style
The EMBO Journal		EMBO J.	curated_cassi_nlm_style
The European Physical Journal E		Eur. Phys. J. E	curated_cassi_nlm_style
The FASEB Journal		FASEB J.	curated_cassi_nlm_style
The Journal of Chemical Physics		J. Chem. Phys.	curated_cassi_nlm_style
The Journal of Neuroscience		J. Neurosci.	curated_cassi_nlm_style
The Journal of Physical Chemistry B		J. Phys. Chem. B	curated_cassi_nlm_style
The journal of physical chemistry letters		J. Phys. Chem. Lett.	curated_cassi_nlm_style
The Journal of Physical Chemistry. B		J. Phys. Chem. B	curated_cassi_nlm_style
Trends in Biochemical Sciences		Trends Biochem. Sci.	curated_cassi_nlm_style
Trends in Cell Biology		Trends Cell Biol.	curated_cassi_nlm_style
Trends in Cognitive Sciences		Trends Cogn. Sci.	curated_cassi_nlm_style
Trends in Genetics		Trends Genet.	curated_cassi_nlm_style
