paper_id	pdf_path	match_status	resolved_title	doi	year
sha256-9dd8d39f589a46b4	articles/3d_genome_mechanism/Cavalli 2024 - Determining the functional relationship between epigenetic and physical chromatin domains in Drosophila.pdf	matched_via_doi	Determining the functional relationship between epigenetic and physical chromatin domains in Drosophila	10.21203/rs.3.rs-4901395/v1	2024
sha256-accfd29cd536a638	articles/3d_genome_mechanism/Ha 2023 biorxiv - Electrostatic encoding of genome organization principles within single native nucleosomes - SI.pdf	matched	Electrostatic encoding of genome organization principles within single native nucleosomes	10.1101/2023.12.08.570828	2023
sha256-f2f3c6c92e802e37	articles/3d_genome_mechanism/Ha 2023 biorxiv - Electrostatic encoding of genome organization principles within single native nucleosomes.pdf	matched	Electrostatic encoding of genome organization principles within single native nucleosomes	10.1101/2023.12.08.570828	2023
sha256-21902dda3d0ff2f6	articles/3d_genome_mechanism/Shenoy 2024 bioRxiv - Polymer Model Integrates Super-Resolution Imaging and Epigenomic Sequencing to Elucidate the Role of Epigenetic Reactions in Shaping 4D Chromatin Organization.pdf	matched	Polymer Model Integrates Super-Resolution Imaging and Epigenomic Sequencing to Elucidate the Role of Epigenetic Reactions in Shaping 4D Chromatin Organization	10.1101/2024.10.08.617296	2024
sha256-b1de75a1a13f100c	articles/3d_genome_mechanism/sasai_2022_pnas_genome_simulation_phase_separation.pdf	not_found	Investigation of phase separation of mixture of oil and water in Monte Carlo simulation	10.1080/01496395.2025.2576539	2025
sha256-5b293e90261b690e	articles/3d_genome_theory/Polovnikov 2026 PNAS - A universal polymer signature in Hi-C resolves cohesin loop density and supports monomeric extrusion.pdf	needs_manual_review	A universal polymer signature in Hi-C resolves cohesin loop density and supports monomeric extrusion	10.1101/2025.09.04.674214	2025
sha256-4fd38a18719df4a5	articles/AAMD_studies/sugita_2015_JMolGraphModel_mycoplasma_cytoplasm.pdf	matched_via_doi	Complete atomistic model of a bacterial cytoplasm for integrating physics, biochemistry, and systems biology	10.1016/j.jmgm.2015.02.004	2015
sha256-8746e8dbd272a3a3	articles/AI_general/Friederich 2026 NatMachIntell - Predicting new research directions in materials science using large language models and concept graphs.pdf	needs_manual_review	Predicting New Research Directions in Materials Science using Large Language Models and Concept Graphs	10.48550/arXiv.2506.16824	2025
sha256-20eba239003b9333	articles/DNA_mechanics/Lankas 2025 JCIM - sequence-dependent-shape-and-stiffness-of-dna-and-rna-double-helices-hexanucleotide-scale-and-beyond - correction.pdf	matched_via_doi	Sequence-Dependent Shape and Stiffness of DNA and RNA Double Helices: Hexanucleotide Scale and Beyond	10.1021/acs.jcim.5c00576	2025
sha256-696da703494132ac	articles/DNA_mechanics/Lankas 2025 JCIM - sequence-dependent-shape-and-stiffness-of-dna-and-rna-double-helices-hexanucleotide-scale-and-beyond.pdf	matched	Sequence-Dependent Shape and Stiffness of DNA and RNA Double Helices: Hexanucleotide Scale and Beyond	10.1101/2025.02.27.640607	2025
sha256-1564dc6b5e855f7a	articles/DNA_mechanics/olson_1994_JMolBiol_nucleic_acids_structure_analysis.pdf	matched	Nucleic acid structure analysis. Mathematics for local Cartesian and helical structure parameters that are truly comparable between structures.	10.1006/JMBI.1994.1213	1994
sha256-acfb90151bbe46f6	articles/IDPs_theory/Sevink 2026 biorxiv - The missing link between biomolecular condensates and amyloid fibrils.pdf	matched	The missing link between biomolecular condensates and amyloid fibrils	10.64898/2026.01.27.702026	2026
sha256-2dda5958c00c1a86	articles/LLPS_theory_and_experiment/Brangwynne 2023 bioRxiv - Asymmetric oligomerization state and sequence patterning can tune multiphase condensate miscibility.pdf	matched	Asymmetric oligomerization state and sequence patterning can tune multiphase condensate miscibility	10.1038/s41557-024-01456-6	2023
sha256-c33569fb02136f54	articles/LLPS_theory_and_experiment/collepardo-guevara_2020_pnas_llps_valency_si.pdf	not_found	BPS2026 – Principles of client enrichment through scaffold-client interactions in biomolecular condensates	10.1016/j.bpj.2025.11.1800	2026
sha256-a10b0de31a8a19e2	articles/LLPS_theory_and_experiment/vendruscolo_2020_PlosCompBiol_fuzzy_binding_prediction.pdf	needs_manual_review	Competing Interests: The authors have declared that no competing interests exist.		2010
sha256-e7fd06e5cd4c3478	articles/SMC/Dekker - bioRxiv 2020 - Resolving the step size in condensin‐driven DNA loop extrusion identifies ATP binding as the step‐generating process.pdf	matched	Resolving the step size in condensin-driven DNA loop extrusion identifies ATP binding as the step-generating process	10.1101/2020.11.04.368506	2020
sha256-a3839fe22bd91de2	articles/SMC/Yu - Science 2019 - Human cohesin compacts DNA by loop extrusion.pdf	matched	Human cohesin compacts DNA by loop extrusion	10.1126/science.aaz4475	2019
sha256-7c1a0ef5de02c8a8	articles/SMC/Yu - Science 2020 - Cryo-EM structure of the human cohesin-NIPBL-DNA complex.pdf	matched	Cryo-EM structure of the human cohesin-NIPBL-DNA complex	10.1126/science.abb0981	2020
sha256-e2aa9ea82c635d55	articles/SMC_mechanism/Haering 2022 Science - Hold-and-feed_mechanism_condensin.pdf	needs_manual_review	A hold-and-feed mechanism drives directional DNA loop extrusion by condensin	10.1126/science.abm4012	2021
sha256-3a71a2ddab6ff54e	articles/TF-DNA_interactions/Schaepe 2025 Cell - Thermodynamic principles link in vitro transcription factor affinities to single-molecule chromatin states in cells.pdf	matched_via_doi	Thermodynamic principles link in vitro transcription factor affinities to single-molecule chromatin states in cells	10.1016/j.cell.2025.11.008	2026
sha256-af3cae53dc3ab2ea	articles/TF_condensation_and_gene_regulation/Sabari 2024 MolCell - Disorder-mediated interactions target proteins to specific condensates.pdf	matched	Disorder-mediated interactions target proteins to specific condensates.	10.1016/j.molcel.2024.08.017	2024
sha256-813d8efb5a8020bb	articles/TF_condensation_and_gene_regulation/Wu 2024 NatCellBiol - Disordered C-terminal domain drives spatiotemporal confinement of RNAPII to enhance search for chromatin targets.pdf	needs_manual_review	Disordered C-terminal domain drives spatiotemporal confinement of RNAPII to enhance search for chromatin targets	10.1038/s41556-024-01382-2	2023
sha256-f011a341907eb96d	articles/TF_condensation_and_gene_regulation/Young 2022 bioRxiv - Transcription factors interact with RNA to regulate genes.pdf	needs_manual_review	Transcription factors interact with RNA to regulate genes.	10.1016/j.molcel.2023.06.012	2023
sha256-2a260e7ff124c0b3	articles/TF_dynamics/lionnet_2021_cshpb_transcription_factor_dynamics_review.pdf	not_found	SIX1 transcription factor: A review of cellular functions and regulatory dynamics.	10.1016/j.ijbiomac.2021.10.133	2021
sha256-beaca38d959c2685	articles/chromatin_and_gene_regulation/Fukaya 2023 SciAdv - Enhancer dynamics review.pdf	matched_via_doi	Enhancer dynamics: Unraveling the mechanism of transcriptional bursting	10.1126/sciadv.adj3366	2023
sha256-4b8f042fcd322545	articles/chromatin_and_gene_regulation/Giorgetti 2025 bioRxiv - Loop extrusion creates rare, long-lived encounters underlying enhancer-promoter communication - SI.pdf	matched	Loop extrusion creates rare, long-lived encounters underlying enhancer-promoter communication	10.1101/2025.09.24.678119	2025
sha256-63513bb245962dc4	articles/chromatin_and_gene_regulation/Giorgetti 2025 bioRxiv - Loop extrusion creates rare, long-lived encounters underlying enhancer-promoter communication.pdf	matched	Loop extrusion creates rare, long-lived encounters underlying enhancer-promoter communication	10.1101/2025.09.24.678119	2025
