paper_id	item_type	content_kind	pdf_path	pdf_sha256	filename	title_query	resolved_title	authors	year	venue	doi	semantic_scholar_paper_id	match_confidence	match_status	bibtex_type	canonical_url	bibtex_key	text_path	chunk_path	abstract_source	date_indexed	notes
bib-36e739997c5a5d48	article	reference_only				structure prediciton of alternative protein conformations	Structure prediction of alternative protein conformations	Bryant, Patrick and No{\'e}, Frank	2024	Nature Communications				manual_verified	article		bryant2024structure	paper_index/text/bib-36e739997c5a5d48.txt	paper_index/chunks/bib-36e739997c5a5d48.jsonl		2026-04-22T01:03:02.436605+00:00	pasted into library_add.py ref flow
bib-3b161ce74bfd3795	article	reference_only				The bacterial hydrophobin BslA is a switchable ellipsoidal janus nanocolloid	The bacterial hydrophobin BslA is a switchable ellipsoidal janus nanocolloid	Brandani, Giovanni B and Schor, Marieke and Morris, Ryan and Stanley-Wall, Nicola and MacPhee, Cait E and Marenduzzo, Davide and Zachariae, Ulrich	2015	Langmuir				manual_verified	article		brandani2015bacterial	paper_index/text/bib-3b161ce74bfd3795.txt	paper_index/chunks/bib-3b161ce74bfd3795.jsonl		2026-04-20T05:33:05.057328+00:00	pasted into library_add.py ref flow
bib-71ef2f4a034db574	article	reference_only				Interfacial self-assembly of a bacterial hydrophobin	Interfacial self-assembly of a bacterial hydrophobin	Bromley, Keith M and Morris, Ryan J and Hobley, Laura and Brandani, Giovanni and Gillespie, Rachel MC and McCluskey, Matthew and Zachariae, Ulrich and Marenduzzo, Davide and Stanley-Wall, Nicola R and MacPhee, Cait E	2015	Proceedings of the National Academy of Sciences of the United States of America				manual_verified	article		bromley2015interfacial	paper_index/text/bib-71ef2f4a034db574.txt	paper_index/chunks/bib-71ef2f4a034db574.jsonl		2026-04-20T05:21:31.711246+00:00	pasted into library_add.py ref flow
s2-1912897a0394f333072278243ac6391b76403218	article	reference_only				Nucleosomes as allosteric scaffolds for genetic regulation	Nucleosomes as allosteric scaffolds for genetic regulation.	S. Takada, G. Brandani, Cheng Tan	2020	Current Opinion in Structural Biology	10.1016/j.sbi.2019.11.013	1912897a0394f333072278243ac6391b76403218		matched	article	https://www.semanticscholar.org/paper/1912897a0394f333072278243ac6391b76403218	takada2020genetic	paper_index/text/s2-1912897a0394f333072278243ac6391b76403218.txt	paper_index/chunks/s2-1912897a0394f333072278243ac6391b76403218.jsonl	semantic_scholar	2026-04-20T05:38:16.856430+00:00	
s2-274ae585571ac87e66e4cea1e11cfaf930ac6b14	article	reference_only				Folded domains impose structural heterogeneity and attenuated dynamics in biomolecular condensates	Folded domains impose structural heterogeneity and attenuated dynamics in biomolecular condensates	Liguo Wang, Siewert J. Marrink	2026	Nature Communications	10.1038/s41467-026-71778-1	274ae585571ac87e66e4cea1e11cfaf930ac6b14		matched	article	https://www.semanticscholar.org/paper/274ae585571ac87e66e4cea1e11cfaf930ac6b14	wang2026biomolecular	paper_index/text/s2-274ae585571ac87e66e4cea1e11cfaf930ac6b14.txt	paper_index/chunks/s2-274ae585571ac87e66e4cea1e11cfaf930ac6b14.jsonl		2026-04-20T02:42:32.941355+00:00	
s2-2fbe0383f1aa619e5bb0a0f04c169c723c077393	article	reference_only				Integrative Modeling of 3D Genome Organization by Bayesian Molecular Dynamics Simulations with Hi-C Metainference	Integrative Modeling of 3D Genome Organization by Bayesian Molecular Dynamics Simulations with Hi-C Metainference	Brandani, Giovanni B	2024	Computational Methods for 3D Genome Analysis		2fbe0383f1aa619e5bb0a0f04c169c723c077393		matched	incollection	https://www.semanticscholar.org/paper/2fbe0383f1aa619e5bb0a0f04c169c723c077393	brandani2024integrative	paper_index/text/s2-2fbe0383f1aa619e5bb0a0f04c169c723c077393.txt	paper_index/chunks/s2-2fbe0383f1aa619e5bb0a0f04c169c723c077393.jsonl		2026-04-20T05:41:38.807359+00:00	replaced via library_edit.py
s2-346ca06f34b3d98700719c6e40861fee7301e210	article	reference_only				Finite-size scaling in unbiased translocation dynamics	Finite-size scaling in unbiased translocation dynamics	G. Brandani, F. Baldovin, E. Orlandini, A. Stella	2013	Journal of Statistical Mechanics: Theory and Experiment	10.1088/1742-5468/2014/05/P05019	346ca06f34b3d98700719c6e40861fee7301e210		matched	article	https://www.semanticscholar.org/paper/346ca06f34b3d98700719c6e40861fee7301e210	brandani2013unbiased	paper_index/text/s2-346ca06f34b3d98700719c6e40861fee7301e210.txt	paper_index/chunks/s2-346ca06f34b3d98700719c6e40861fee7301e210.jsonl	semantic_scholar	2026-04-20T05:40:22.292121+00:00	
s2-376c7aa7da9195c4ec11c0015d608d47cf9af797	article	reference_only				An integrated view of the structure and function of the human 4D nucleome	An integrated view of the structure and function of the human 4D nucleome	J. Dekker, B. A. Oksuz, Yang Zhang, Ye Wang, Miriam K. Minsk, Shuzhen Kuang, Liyan Yang, J. Gibcus, Nils Krietenstein, Oliver J Rando, Jie Xu, D. Janssens, Steven Henikoff, A. Kukalev, Willemin Andréa, Warren Winick-Ng, Rieke Kempfer, Ana Pombo, Miao Yu, Pradeep Kumar, Liguo Zhang, Andrew S. Belmont, Takayo Sasaki, Tom van Schaik, Laura Brueckner, Daan Peric-Hupkes, B. van Steensel, Ping Wang, Haoxi Chai, Minji Kim, Yijun Ruan, Ran Zhang, SA Quinodoz, Prashant Bhat, M. Guttman, Wenxin Zhao, Shu Chien, Yuan Liu, Sergey V. Venev, Dariusz Plewczyński, Ibai Irastorza Azcarate, Dominik Szabó, Christoph J. Thieme, Teresa Szczepińska, Mateusz Chiliński, Kaustav Sengupta, Mattia Conte, Andrea Esposito, Alex Abraham, Ruochi Zhang, Yuchuan Wang, Xingzhao Wen, Qiuyang Wu, Yang Yang, Jie Liu, L. Boninsegna, Aslı Yıldırım, Yuxiang Zhan, A. Chiariello, Simona Bianco, Lindsay Lee, Ming Hu, Yun Li, R. J. Barnett, Ashley L. Cook, Daniel J. Emerson, Claire Marchal, Peiyao Zhao, Peter J. Park, Burak H Alver, Andrew J. Schroeder, Rahi Navelkar, Clara Bakker, William Ronchetti, Shannon R. Ehmsen, Alexander D. Veit, Nils Gehlenborg, Ting Wang, Daofeng Li, Xiaotao Wang, Mario Nicodemi, Bing Ren, Sheng Zhong, Jennifer E. Phillips-Cremins, David M. Gilbert, Katherine S. Pollard, Frank Alber, Jian Ma, W. Noble, Feng Yue	2025	Nature	10.1038/s41586-025-09890-3	376c7aa7da9195c4ec11c0015d608d47cf9af797		matched	article	https://www.semanticscholar.org/paper/376c7aa7da9195c4ec11c0015d608d47cf9af797	dekker2025integrated	paper_index/text/s2-376c7aa7da9195c4ec11c0015d608d47cf9af797.txt	paper_index/chunks/s2-376c7aa7da9195c4ec11c0015d608d47cf9af797.jsonl	semantic_scholar	2026-04-20T02:41:40.598876+00:00	
s2-411f192da5d23032d6bf8dd4f3924e29f90db0cf	article	reference_only				Multiphase separation in postsynaptic density regulated by membrane geometry via interaction valency and volume	Multiphase separation in postsynaptic density regulated by membrane geometry via interaction valency and volume	Risa Yamada, Giovani B. Brandani, Shoji Takada	2025	eLife	10.1101/2025.02.19.638939	411f192da5d23032d6bf8dd4f3924e29f90db0cf		matched	article	https://www.semanticscholar.org/paper/411f192da5d23032d6bf8dd4f3924e29f90db0cf	yamada2025postsynaptic	paper_index/text/s2-411f192da5d23032d6bf8dd4f3924e29f90db0cf.txt	paper_index/chunks/s2-411f192da5d23032d6bf8dd4f3924e29f90db0cf.jsonl	semantic_scholar	2026-04-20T05:40:50.407757+00:00	
s2-531342ca0f97691babe84b6aa851ce96d74bea89	article	reference_only				Molecular dynamics simulations of human cohesin subunits identify DNA binding sites and their potential roles in DNA loop extrusion	Molecular dynamics simulations of human cohesin subunits identify DNA binding sites and their potential roles in DNA loop extrusion	Chenyang Gu, Shoji Takada, Giovani B. Brandani, Tsuyoshi Terakawa	2025	PLoS Computational Biology	10.1101/2024.09.17.613402	531342ca0f97691babe84b6aa851ce96d74bea89		matched	article	https://www.semanticscholar.org/paper/531342ca0f97691babe84b6aa851ce96d74bea89	gu2024binding	paper_index/text/s2-531342ca0f97691babe84b6aa851ce96d74bea89.txt	paper_index/chunks/s2-531342ca0f97691babe84b6aa851ce96d74bea89.jsonl	manual_verified	2026-04-20T05:39:12.790830+00:00	replaced via library_edit.py
